position,week,season_type,lookup_string,player_id,player_name,team_abbr,team_conf,team_division,stat_type,stat_label,stat_values
Defense,2,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,football_values,def_points_allowed,10
Defense,2,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,fantasy_points,def_fumble_recovery,2
Defense,2,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,fantasy_points,def_interception,4
Defense,2,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,fantasy_points,def_points_allowed,4
Defense,3,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,football_values,def_sack,9
Defense,3,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,football_values,def_fumble_recovery,1
Defense,3,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,football_values,def_interception,4
Defense,3,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,football_values,def_td,1
Defense,3,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,football_values,def_points_allowed,3
Defense,3,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,fantasy_points,def_sack,9
Defense,3,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,fantasy_points,def_fumble_recovery,2
Defense,3,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,fantasy_points,def_interception,8
Defense,3,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,fantasy_points,def_td,6
Defense,3,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,fantasy_points,def_points_allowed,7
Defense,4,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,football_values,def_sack,4
Defense,4,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,football_values,def_fumble_recovery,1
Defense,4,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,football_values,def_interception,1
Defense,4,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,football_values,def_points_allowed,20
Defense,4,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,fantasy_points,def_sack,4
Defense,4,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,fantasy_points,def_fumble_recovery,2
Defense,4,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,fantasy_points,def_interception,2
Defense,5,Regular,"Defense, BUF (AFC East)",N/A,Buffalo Bills,BUF,AFC,AFC East,football_values,def_sack,5
